"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in local currency, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"14 Mar 2025 9:12:04 PM UTC","24445347672","Order","404-4811762-2034722","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Umm Al Quwain","","","59.99","1.50","-1.50","-6.00","-10.50","0","0","43.49"
"14 Mar 2025 9:14:12 PM UTC","24445347672","Transfer","","","To account ending with: 721","","","","","","","0","0","0","0","0","0","-1,787.56","-1,787.56"
"14 Mar 2025 9:43:37 PM UTC","24445347672","Order","403-7805675-1420321","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Ras Al Khaimah","","","45.99","10.00","0","-4.60","-19.45","0","0","31.94"
"14 Mar 2025 10:53:48 PM UTC","24445347672","Order","404-4792514-0030704","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","90.99","3.33","-3.33","-9.10","-11.03","0","0","70.86"
"14 Mar 2025 11:02:40 PM UTC","24445347672","Order","408-8190660-0585110","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"14 Mar 2025 11:10:30 PM UTC","24445347672","Order","402-1344582-6484357","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Fujairah","","","59.99","1.25","-1.25","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 4:38:58 AM UTC","24445347672","Order","406-7562848-2009135","79-ZZXJ-ES5J","Epoxy Resin 1 Gallon, 0.5 Gallon Resin and 0.5 Gallon Hardener Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jeweller","1","amazon.ae","Amazon","Dubai","","","295.00","1.50","-1.50","-29.50","-14.70","0","0","250.80"
"15 Mar 2025 4:38:58 AM UTC","24445347672","Order","406-7562848-2009135","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","59.99","1.50","-1.50","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 4:54:51 AM UTC","24445347672","Order","403-0114756-7513949","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","59.99","1.50","-1.50","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 5:49:06 AM UTC","24445347672","Order","406-7403342-4029958","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","59.99","1.50","-1.50","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 5:56:01 AM UTC","24445347672","Order","408-9189245-9838702","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","59.99","0","0","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 4:26:00 PM UTC","24445347672","Order","405-8171164-5923525","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","1.00","-1.00","-4.60","-9.45","0","0","31.94"
"15 Mar 2025 6:05:59 PM UTC","24445347672","Order","408-8131581-8200362","79-ZZXJ-ES5J","Epoxy Resin 1 Gallon, 0.5 Gallon Resin and 0.5 Gallon Hardener Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jeweller","2","amazon.ae","Amazon","Dubai","","","590.00","1.20","-1.20","-88.50","-29.40","0","0","472.10"
"15 Mar 2025 6:05:59 PM UTC","24445347672","Order","408-8131581-8200362","79-ZZXJ-ES5J","Epoxy Resin 1 Gallon, 0.5 Gallon Resin and 0.5 Gallon Hardener Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jeweller","1","amazon.ae","Amazon","Dubai","","","295.00","0.60","-0.60","0","-14.70","0","0","280.30"
"15 Mar 2025 7:56:18 PM UTC","24445347672","Order","171-6160631-5272365","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","1.50","0","-4.60","-10.95","0","0","31.94"
"15 Mar 2025 8:37:14 PM UTC","24445347672","Order","406-8583255-3260353","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Abu Dhabi","","","59.99","0.75","-0.75","-6.00","-10.50","0","0","43.49"
"15 Mar 2025 9:50:00 PM UTC","24445347672","Order","404-5152392-8381141","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","90.99","0.75","-0.75","-36.40","-11.03","0","0","43.56"
"15 Mar 2025 9:50:00 PM UTC","24445347672","Order","404-5152392-8381141","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","3","amazon.ae","Amazon","Dubai","","","272.97","2.25","-2.25","0","-33.08","0","0","239.89"
"15 Mar 2025 10:29:57 PM UTC","24445347672","Order","403-4772350-3088337","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","1.43","-1.43","-4.60","-9.45","0","0","31.94"
"15 Mar 2025 11:29:35 PM UTC","24445347672","Order","171-3958593-0126756","H1-TUMM-Y2MI","GEEEKART Electric Nail Clipper 2-in-1 with 3 Speeds Nail Clipper Electric With LED Light Type-C Charging Ultra Lightweight Low Noise Easy Elderly Chil","1","amazon.ae","Amazon","Abu Dhabi","","","67.54","0","0","-5.40","-9.45","0","0","52.69"
