"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 4, 2025 4:24:43 p.m. PST","23116784351","Order","701-0699859-9962649","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Calgary","Alberta","T3M 3T","Combined TCS+MTC","18.04","0.90","0","0","0","0","0","0","0","0","-0.90","-2.71","-7.71","-0.05","0","7.57"
"Mar 4, 2025 5:52:31 p.m. PST","23116784351","Order","702-3606210-5072252","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Castlegar","British Columbia","V1N 4N","Combined TCS+MTC","18.04","2.16","0","0","0","0","0","0","0","0","-2.16","-2.71","-7.71","-0.05","0","7.57"
"Mar 4, 2025 10:37:57 p.m. PST","23116784351","Order","702-8819250-2104250","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Pickering","Ontario","L1X 2C","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 5, 2025 1:33:54 a.m. PST","23116784351","Order","701-2874594-5730634","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","St. Albert","Alberta","T8N 2Z","Combined TCS+MTC","18.04","0.90","0","0","0","0","0","0","0","0","-0.90","-2.71","-7.71","-0.05","0","7.57"
"Mar 5, 2025 2:06:51 a.m. PST","23116784351","Order","701-2539317-8453851","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Vancouver","British Columbia","V6R 1V","Combined TCS+MTC","18.04","2.16","0","0","0","0","0","0","0","0","-2.16","-2.71","-7.71","-0.05","0","7.57"
"Mar 5, 2025 2:15:49 a.m. PST","23116784351","Order","702-7472718-1266623","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Saint-Nazaire-D'Acton","Quebec","J0H 1V","Combined TCS+MTC","18.04","2.70","0","0","0","0","0","0","0","0","-2.70","-2.71","-7.71","-0.05","0","7.57"
"Mar 5, 2025 6:49:37 a.m. PST","23116784351","Order","701-4670252-7238666","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","La tuque","Québec","G9X 3N","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 5, 2025 7:06:20 a.m. PST","23116784351","Order","701-1324794-8496245","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Lethbridge","Newfoundland","A0C 1V","Combined TCS+MTC","17.85","2.68","8.03","1.20","0","0","0","0","0","0","-3.88","-2.68","-15.74","-0.05","0","7.41"
"Mar 5, 2025 7:31:04 a.m. PST","23116784351","Order","702-0303374-4266623","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Parkland County","AB","T7Y0E","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
"Mar 5, 2025 12:21:51 p.m. PST","23116784351","Order","702-4039187-4898658","7Z-MGKR-201D","Epoxy Resin 2 Gallon Kit,Crystal Clear Epoxy Resin,Not Yellowing,Bubble Free,Food Safe Resin & Fast Curing Resin for Coating, Casting, Table Top, Rive","1","amazon.ca","Amazon","Vancouver","British Columbia","V6R2M","","109.36","0","0","0","0","0","0","0","0","0","0","-16.40","-22.87","-0.33","0","69.76"
